Category,Business Name,Contact Name,Email,Phone,Website,Instagram,Other Social,Street Address,City,State,Zip,Days of Operation,Hours of Operation
Brewery,Misfit Brewing,,,(860) 815-1805,drinkmisfit.com,,,12 Water St,Mystic,CT,06355,,
Brewery,Greenwich Brewing Co,,,(203) 485-0400,greenwichbrewingcompany.com,@greenwichbrewingcompany,@greenwichbrewingco,109 Greenwich Ave,Greenwich,CT,06830,,
Brewery,Armada Brewing,,,(203) 275-9751,armadabrewing.com,,,190 River St,New Haven,CT,06513,,
Brewery,Witchdoctor Brewing,,,(860) 426-1924,witchdoctorbrewing.com,,,168 Center St Ste 116,Southington,,CT,,
Brewery,Broken Symmetry Gastro Brewery,,,(203) 826-9907,facebook.com/BSGbrew,@brokensymmetrybrew,,5 Depot Place,Bethel,,CT,,
Brewery,Athletic Brewing Co,,,(203) 273-0422,athleticbrewing.com,,,350 Long Beach Blvd,Stratford,CT,06615,,
Brewery,Counter Weight Brewing Co,,info@counterweightbrewing.com,(203) 806-1477,counterweightbrewing.com,,,7 Diana Court,Cheshire,CT,06410,,
Brewery,Forest City Brewing,,,(860) 788-2138,forestcitybrewing.com,@forestcitybrewing,,180 Johnson St,Middletown,,CT,,
Brewery,Twelve Percent Beer Project,,,,twelvepercentbeerproject.square.site,,,341 State St,North Haven,CT,06473,,
Brewery,OEC Brewing,,,,oecbrewing.com,,,7 Fox Hollow Rd,Oxford,CT,06478,,
Brewery,Two Roads Brewing Company,,,(203) 335-2010,tworoadsbrewing.com,,,1700 Stratford Ave,Stratford,CT,06615,,
Brewery,Charter Oak Brewing,,,,charteroakbrewing.com,@charteroakbrewing,,39B Shelter Rock Rd,Danbury,CT,,,
Brewery,Thomas Hooker Brewing Co,,,(860) 242-3111,hookerbeer.com,,,16 Tobey Rd,Bloomfield,CT,06002,,
Brewery,New England Brewing Company,,,(203) 387-2222,newenglandbrewing.com,,,175 Amity Rd,Woodbridge,CT,06525,,
Brewery,BAR,,frankatbar1@aol.com,(203) 495-1111,barnightclub.com,,,254 Crown St,New Haven,CT,06511,,
Brewery,Bad Martha Brewing Company,,,,badmarthabeer.com,,,,Edgartown,MA,,,
Brewery,Mercury Brewing Company,,,(978) 356-3329,ipswichalebrewery.com,,,2 Brewery Place,Ipswich,MA,01938,,
Brewery,Newburyport Brewing Company,,,,newburyportbrewing.com,,,,Newburyport,MA,,,
Brewery,Berkshire Brewing Company,,,(413) 665-6600,berkshire-brewing.com,,,12 Railroad St,South Deerfield,MA,01373,,
Brewery,Element Brewing and Distilling,,,,elementbeer.com,@elementbeer,,,Millers Falls,MA,,,
Brewery,The People's Pint,,,(413) 773-0333,thepeoplespint.com,,,24 Federal St,Greenfield,MA,01301,,
Brewery,Aeronaut Brewing Company,,hi@aeronaut.net,(617) 987-4236,aeronautbrewing.com,,,,Somerville,MA,,,
Brewery,Arlington Brewing Company,,,,drinkarlingtonbeer.com,,,15 Ryder St,Arlington,MA,,,
Brewery,Cisco Brewers,,,(508) 325-5929,ciscobrewers.com,,,5 Bartlett Farm Rd,Nantucket,MA,02554,,
Brewery,Blue Hills Brewery,,,(781) 821-2337,facebook.com/BlueHillsBrewery,,,1020 Turnpike St,Canton,MA,02021,,
Brewery,Boston Beer Company,,,,bostonbeer.com,,,30 Germania St,Boston,MA,02130,,
Brewery,Harpoon Brewery,,,(617) 456-2322,harpoonbrewery.com,,,306 Northern Ave,Boston,MA,02210,,
Brewery,Wachusett Brewing Company,,,,wachusettbrew.com,,,,Westminster,MA,,,
Brewery,Tree House Brewing Company,,info@treehousebrew.com,(413) 523-2367,treehousebrew.com,,,129 Sturbridge Rd,Charlton,MA,01507,,
Brewery,Buttonwoods Brewing,,,(401) 400-8200,buttonwoodsbrewery.com,,,,Providence,RI,,,
Brewery,Crafted Hope Brewing,,,(401) 398-0491,craftedhopebrewing.com,,,1485 S County Trl Ste 201,East Greenwich,RI,02818,,
Brewery,Crook Point Brewing Co,,crookpointbrewing@gmail.com,,crookpointbrewing.com,,,65 Massasoit Ave,East Providence,RI,02914,,
Brewery,Crooked Current Brewery,,CrookedCurrentBrewery@cox.com,(401) 473-8312,crookedcurrentbreweryri.com,,,560 Mineral Spring Ave,Pawtucket,RI,,,
Brewery,Foolproof Brewing Company,,,(401) 721-5970,foolproofbrewing.com,,,241 Grotto Ave,Pawtucket,RI,02860,,
Brewery,Grey Sail Brewing of Rhode Island,,,(401) 315-2533,greysailbrewing.com,@greysail,,63 Canal St,Westerly,RI,02891,,
Brewery,Long Live Beerworks,,,(401) 632-5953,longlivebeerworks.com,,,40R Sprague St,Providence,RI,02907,,
Brewery,Lops Brewing,,,,lopsbrewing.com,,,,Woonsocket,RI,,,
Brewery,Moniker Brewery,,,(401) 400-8200,monikerbrewery.com,,,,Providence,RI,,,
Brewery,Narragansett Brewing Company,,,(401) 437-8970,narragansettbeer.com,,,271 Tockwotton St,Providence,RI,02903,,
Brewery,Newport Craft Brewing & Distilling Co,,,(401) 849-5400,newportcraft.com,,,,Newport,RI,,,
Brewery,Origin Beer Project,,,,originbeerproject.com,,,,Providence,RI,,,
Brewery,Phantom Farms Brewing,,,,phantomfarmsbrewing.com,,,,Cumberland,RI,,,
Brewery,Pivotal Brewing Co,,,,pivotalbrewing.com,,,,Bristol,RI,,,
Brewery,Proclamation Ale Company,,,(401) 461-8200,proclamationaleco.com,,,,Warwick,RI,,,
Brewery,Providence Brewing Company,,,(401) 861-5050,providencebrewingco.com,,,,Providence,RI,,,
Brewery,Ragged Island Brewing Company,,,,raggedislandbrewing.com,,,,Portsmouth,RI,,,
Brewery,Ravenous Brewing Company,,,,ravenousbrewing.com,,,,Cumberland,RI,,,
Brewery,Rejects Beer Company,,,,rejectsbeerco.com,,,,Middletown,RI,,,
Brewery,Taproot Brewing Co,,,,taprootbrewingco.com,,,,Middletown,RI,,,
Brewery,The Guild Brewing Co,,,,theguildbrewingco.com,,,,Pawtucket,RI,,,
Brewery,Tilted Barn Brewery,,,(401) 500-6765,tiltedbarnbrewery.com,,,1 Hemsley Pl,Exeter,RI,02822,,
Brewery,Tower Hill Brewing Co,,,,towerhillbrewing.com,,,,South Kingstown,RI,,,
Brewery,Vigilant Brewing,,,,vigilantbrewing.com,,,,Bristol,RI,,,
Brewery,Whalers Brewing Company,,,(401) 552-0002,whalers.com,,,1174 Kingstown Rd,Wakefield,RI,02879,,
Brewery,Apponaug Brewing Company,,,,apponaugbrewing.com,,,,Warwick,RI,,,
Brewery,Bravo Brewing Company,,,,bravobrewing.com,,,,Pascoag,RI,,,
Brewery,Coddington Brewing Company,,coddbrewco@gmail.com,(401) 847-6690,coddbrew.com,,,210 Coddington Hwy,Middletown,RI,02842,,
Brewery,Trinity Brewhouse,,,(401) 453-2337,trinitybrewhouse.com,,,186 Fountain St,Providence,RI,02903,,
Brewery,Union Station Brewery,,,(401) 274-2739,unionstationpvd.com,,,36 Exchange Ter,Providence,RI,,,
Brewery,West Passage Brewing Co,,,,westpassagebrewing.com,,,,North Kingstown,RI,,,
Brewery,2 Feet Brewing Company,,,,2feetbrewing.com,,,,Bangor,ME,,,
Brewery,Airline Brewing Company,,,,airlinebrewing.com,,,,Amherst,ME,,,
Brewery,Allagash Brewing Company,,,(207) 878-5385,allagash.com,,,50 Industrial Way,Portland,ME,04103,,
Brewery,Ambition Brewing,,,,ambitionbrewing.com,,,,Wilton,ME,,,
Brewery,Atlantic Brewing Company,,,,atlanticbrewing.com,,,52 Cottage St,Bar Harbor,ME,04609,,
Brewery,Austin Street Brewery,,,(207) 358-0492,austinstreetbrewery.com,,,1 Industrial Way Ste 8,Portland,ME,04103,,
Brewery,Banded Brewing Company,,,(207) 602-1832,bandedbrewing.com,,,28 Pearl St,Biddeford,ME,04005,,
Brewery,Bangor Beer Company,,,,bangorbeerco.com,,,,Bangor,ME,,,
Brewery,Barreled Souls Brewing Company,,,(207) 283-6950,barreledsouls.com,,,4 Finn Parker Rd,Saco,ME,04072,,
Brewery,Bateau Brewing,,,,bateaubrewing.com,,,169 Water St,Gardiner,ME,,,
Brewery,Bath Brewing Company,,,,bathbrewingcompany.com,,,141 Mill St,Bath,ME,,,
Brewery,Batson River Brewing and Distilling,,,,batsonriver.com,,,,Biddeford,ME,,,
Brewery,Battery Steele Brewing,,,(207) 899-4488,batterysteele.com,,,1 Industrial Way Ste 6,Portland,ME,04103,,
Brewery,Baxter Brewing Company,,,(207) 440-7800,baxterbrewing.com,@baxterbrewing,,130 Mill St,Lewiston,ME,04240,,
Brewery,Belleflower Brewing Company,,,,belleflowerbrewing.com,,,275 Anderson St,Portland,ME,04101,,
Brewery,Bigelow Brewing,,,,bigelowbrewing.com,,,473 Bigelow Hill Rd,Skowhegan,ME,04976,,
Brewery,Birchwood Brewing,,,,birchwoodbrewing.com,,,,Gray,ME,,,
Brewery,Bissell Brothers Brewing Company,,,(207) 464-8624,bissellbrothers.com,,,38 Resurgam Pl,Portland,ME,04102,,
Brewery,Black Bear Microbrewery,,,,blackbearmicro.com,,,36A Main St,Orono,ME,04473,,
Brewery,Black Pug Brewing,,,,blackpugbrewing.com,,,,Brunswick,ME,,,
Brewery,Blank Canvas Brewery,,,,blankcanvasbrewery.com,,,,Brewer,ME,,,
